Cancer,RD_stage,Sex,Age,Count,Rate_100k
Melanoma of the skin,I,Males,00–04,,
Melanoma of the skin,I,Males,05–09,,
Melanoma of the skin,I,Males,10–14,4,0.6
Melanoma of the skin,I,Males,15–19,14,1.9
Melanoma of the skin,I,Males,20–24,37,4.5
Melanoma of the skin,I,Males,25–29,80,9.5
Melanoma of the skin,I,Males,30–34,122,15.9
Melanoma of the skin,I,Males,35–39,161,20.6
Melanoma of the skin,I,Males,40–44,257,32.7
Melanoma of the skin,I,Males,45–49,294,38.5
Melanoma of the skin,I,Males,50–54,393,53.1
Melanoma of the skin,I,Males,55–59,550,83.1
Melanoma of the skin,I,Males,60–64,724,118.5
Melanoma of the skin,I,Males,65–69,647,136.4
Melanoma of the skin,I,Males,70–74,605,169.3
Melanoma of the skin,I,Males,75–79,442,171.0
Melanoma of the skin,I,Males,80–84,352,184.7
Melanoma of the skin,I,Males,85+,253,181.9
Melanoma of the skin,I,Males,Total,"4,935", 
Melanoma of the skin,II,Males,00–04,1,0.1
Melanoma of the skin,II,Males,05–09,,
Melanoma of the skin,II,Males,10–14,,
Melanoma of the skin,II,Males,15–19,,
Melanoma of the skin,II,Males,20–24,2,0.2
Melanoma of the skin,II,Males,25–29,6,0.7
Melanoma of the skin,II,Males,30–34,7,0.9
Melanoma of the skin,II,Males,35–39,8,1.0
Melanoma of the skin,II,Males,40–44,22,2.8
Melanoma of the skin,II,Males,45–49,48,6.3
Melanoma of the skin,II,Males,50–54,49,6.6
Melanoma of the skin,II,Males,55–59,63,9.5
Melanoma of the skin,II,Males,60–64,116,19.0
Melanoma of the skin,II,Males,65–69,108,22.8
Melanoma of the skin,II,Males,70–74,121,33.9
Melanoma of the skin,II,Males,75–79,111,43.0
Melanoma of the skin,II,Males,80–84,168,88.2
Melanoma of the skin,II,Males,85+,171,123.0
Melanoma of the skin,II,Males,Total,"1,001", 
Melanoma of the skin,III,Males,00–04,,
Melanoma of the skin,III,Males,05–09,1,0.1
Melanoma of the skin,III,Males,10–14,1,0.1
Melanoma of the skin,III,Males,15–19,,
Melanoma of the skin,III,Males,20–24,3,0.4
Melanoma of the skin,III,Males,25–29,4,0.5
Melanoma of the skin,III,Males,30–34,4,0.5
Melanoma of the skin,III,Males,35–39,9,1.2
Melanoma of the skin,III,Males,40–44,7,0.9
Melanoma of the skin,III,Males,45–49,12,1.6
Melanoma of the skin,III,Males,50–54,20,2.7
Melanoma of the skin,III,Males,55–59,24,3.6
Melanoma of the skin,III,Males,60–64,32,5.2
Melanoma of the skin,III,Males,65–69,25,5.3
Melanoma of the skin,III,Males,70–74,22,6.2
Melanoma of the skin,III,Males,75–79,11,4.3
Melanoma of the skin,III,Males,80–84,20,10.5
Melanoma of the skin,III,Males,85+,10,7.2
Melanoma of the skin,III,Males,Total,205, 
