Cancer,RD_stage,Sex,Age,Years_after_diagnosis,Survival_percnt
Melanoma of the skin,I,Males,0–39,1,100.0
Melanoma of the skin,I,Males,40–44,1,100.0
Melanoma of the skin,I,Males,45–49,1,100.0
Melanoma of the skin,I,Males,50–54,1,100.0
Melanoma of the skin,I,Males,55–59,1,100.0
Melanoma of the skin,I,Males,60–64,1,100.0
Melanoma of the skin,I,Males,65–69,1,100.0
Melanoma of the skin,I,Males,70–74,1,100.0
Melanoma of the skin,I,Males,75–79,1,99.4
Melanoma of the skin,I,Males,80–84,1,99.1
Melanoma of the skin,I,Males,85+,1,100.0
Melanoma of the skin,I,Males,Total,1,100.0
Melanoma of the skin,I,Males,0–39,2,100.0
Melanoma of the skin,I,Males,40–44,2,100.0
Melanoma of the skin,I,Males,45–49,2,99.5
Melanoma of the skin,I,Males,50–54,2,100.0
Melanoma of the skin,I,Males,55–59,2,100.0
Melanoma of the skin,I,Males,60–64,2,100.0
Melanoma of the skin,I,Males,65–69,2,100.0
Melanoma of the skin,I,Males,70–74,2,99.5
Melanoma of the skin,I,Males,75–79,2,99.2
Melanoma of the skin,I,Males,80–84,2,98.5
Melanoma of the skin,I,Males,85+,2,100.0
Melanoma of the skin,I,Males,Total,2,99.9
Melanoma of the skin,I,Males,0–39,3,99.6
Melanoma of the skin,I,Males,40–44,3,99.7
Melanoma of the skin,I,Males,45–49,3,99.4
Melanoma of the skin,I,Males,50–54,3,100.0
Melanoma of the skin,I,Males,55–59,3,99.7
Melanoma of the skin,I,Males,60–64,3,100.0
Melanoma of the skin,I,Males,65–69,3,100.0
Melanoma of the skin,I,Males,70–74,3,99.0
Melanoma of the skin,I,Males,75–79,3,100.0
Melanoma of the skin,I,Males,80–84,3,99.4
Melanoma of the skin,I,Males,85+,3,100.0
Melanoma of the skin,I,Males,Total,3,99.8
Melanoma of the skin,I,Males,0–39,4,99.4
Melanoma of the skin,I,Males,40–44,4,98.8
Melanoma of the skin,I,Males,45–49,4,99.3
Melanoma of the skin,I,Males,50–54,4,100.0
Melanoma of the skin,I,Males,55–59,4,98.9
Melanoma of the skin,I,Males,60–64,4,99.5
Melanoma of the skin,I,Males,65–69,4,98.7
Melanoma of the skin,I,Males,70–74,4,96.0
Melanoma of the skin,I,Males,75–79,4,99.3
Melanoma of the skin,I,Males,80–84,4,97.4
Melanoma of the skin,I,Males,85+,4,100.0
Melanoma of the skin,I,Males,Total,4,98.8
Melanoma of the skin,I,Males,0–39,5,99.1
Melanoma of the skin,I,Males,40–44,5,99.0
Melanoma of the skin,I,Males,45–49,5,99.7
Melanoma of the skin,I,Males,50–54,5,99.5
Melanoma of the skin,I,Males,55–59,5,98.7
Melanoma of the skin,I,Males,60–64,5,100.0
Melanoma of the skin,I,Males,65–69,5,98.3
Melanoma of the skin,I,Males,70–74,5,96.6
Melanoma of the skin,I,Males,75–79,5,95.9
Melanoma of the skin,I,Males,80–84,5,98.2
Melanoma of the skin,I,Males,85+,5,100.0
Melanoma of the skin,I,Males,Total,5,98.7
Melanoma of the skin,II,Males,0–39,1,100.0
Melanoma of the skin,II,Males,40–44,1,91.3
Melanoma of the skin,II,Males,45–49,1,100.0
Melanoma of the skin,II,Males,50–54,1,96.3
Melanoma of the skin,II,Males,55–59,1,100.0
Melanoma of the skin,II,Males,60–64,1,95.6
Melanoma of the skin,II,Males,65–69,1,96.7
Melanoma of the skin,II,Males,70–74,1,92.1
Melanoma of the skin,II,Males,75–79,1,96.5
