row,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
0,Melanoma of the skin,2007,Males,New South Wales,"2,126",62.8,339,10.0,Male,3413653
1,Melanoma of the skin,2007,Males,Victoria,"1,188",46.6,182,7.1,Male,2574619
2,Melanoma of the skin,2007,Males,Queensland,"1,591",77.5,211,10.3,Male,2076128
3,Melanoma of the skin,2007,Males,Western Australia,575,54.2,88,8.3,Male,1075987
4,Melanoma of the skin,2007,Males,South Australia,342,44.1,55,7.1,Male,779355
5,Melanoma of the skin,2007,Males,Tasmania,127,52.1,12,4.9,Male,245319
6,Melanoma of the skin,2007,Males,Australian Capital Territory,72,44.0,14,8.3,Male,170383
7,Melanoma of the skin,2007,Males,Northern Territory,30,27.7,3,n.p.,Male,112777
8,Melanoma of the skin,2007,Males,,"6,034",58.3,909,8.8,Male,10449776
9,Melanoma of the skin,2007,Females,New South Wales,"1,420",41.2,138,4.0,Female,3470199
10,Melanoma of the skin,2007,Females,Victoria,986,37.9,95,3.7,Female,2624884
11,Melanoma of the skin,2007,Females,Queensland,"1,125",54.6,90,4.4,Female,2083862
12,Melanoma of the skin,2007,Females,Western Australia,412,39.4,36,3.4,Female,1059019
13,Melanoma of the skin,2007,Females,South Australia,279,35.1,34,4.3,Female,799134
14,Melanoma of the skin,2007,Females,Tasmania,109,43.7,4,n.p.,Female,250539
15,Melanoma of the skin,2007,Females,Australian Capital Territory,59,35.0,4,n.p.,Female,173793
16,Melanoma of the skin,2007,Females,Northern Territory,20,20.6,1,n.p.,Female,103841
17,Melanoma of the skin,2007,Females,,"4,400",42.0,400,3.8,Female,10566345
18,Melanoma of the skin,2007,Persons,New South Wales,"3,546",51.9,477,7.0,Person,6883852
19,Melanoma of the skin,2007,Persons,Victoria,"2,174",42.2,277,5.4,Person,5199503
20,Melanoma of the skin,2007,Persons,Queensland,"2,716",66.1,301,7.3,Person,4159990
21,Melanoma of the skin,2007,Persons,Western Australia,987,46.9,124,5.9,Person,2135006
22,Melanoma of the skin,2007,Persons,South Australia,621,39.5,89,5.7,Person,1578489
23,Melanoma of the skin,2007,Persons,Tasmania,236,47.8,16,3.2,Person,495858
24,Melanoma of the skin,2007,Persons,Australian Capital Territory,131,39.4,18,5.3,Person,344176
25,Melanoma of the skin,2007,Persons,Northern Territory,50,24.3,4,n.p.,Person,216618
26,Melanoma of the skin,2007,Persons,,"10,434",50.1,"1,309",6.3,Person,21016121
27,Melanoma of the skin,2008,Males,New South Wales,"2,155",62.6,347,10.1,Male,3476199
28,Melanoma of the skin,2008,Males,Victoria,"1,247",47.9,187,7.2,Male,2633317
29,Melanoma of the skin,2008,Males,Queensland,"1,776",84.3,213,10.1,Male,2135996
30,Melanoma of the skin,2008,Males,Western Australia,658,60.1,93,8.5,Male,1113633
31,Melanoma of the skin,2008,Males,South Australia,413,52.6,78,9.9,Male,789696
32,Melanoma of the skin,2008,Males,Tasmania,163,66.0,27,10.9,Male,248714
33,Melanoma of the skin,2008,Males,Australian Capital Territory,76,45.7,14,8.1,Male,174242
34,Melanoma of the skin,2008,Males,Northern Territory,29,26.5,3,n.p.,Male,116223
35,Melanoma of the skin,2008,Males,,"6,529",61.8,959,9.1,Male,10689738
36,Melanoma of the skin,2008,Females,New South Wales,"1,489",42.6,150,4.3,Female,3525583
37,Melanoma of the skin,2008,Females,Victoria,982,37.0,89,3.4,Female,2679968
38,Melanoma of the skin,2008,Females,Queensland,"1,193",56.5,95,4.5,Female,2139555
39,Melanoma of the skin,2008,Females,Western Australia,425,39.5,30,2.8,Female,1095295
40,Melanoma of the skin,2008,Females,South Australia,325,40.4,38,4.7,Female,808184
41,Melanoma of the skin,2008,Females,Tasmania,114,45.3,13,5.2,Female,253060
42,Melanoma of the skin,2008,Females,Australian Capital Territory,62,36.6,5,2.7,Female,176859
43,Melanoma of the skin,2008,Females,Northern Territory,20,19.6,1,n.p.,Female,106303
44,Melanoma of the skin,2008,Females,,"4,606",43.1,424,4.0,Female,10785887
45,Melanoma of the skin,2008,Persons,New South Wales,"3,644",52.5,497,7.2,Person,7001782
46,Melanoma of the skin,2008,Persons,Victoria,"2,229",42.4,276,5.3,Person,5313285
47,Melanoma of the skin,2008,Persons,Queensland,"2,969",70.4,308,7.3,Person,4275551
48,Melanoma of the skin,2008,Persons,Western Australia,"1,083",49.9,123,5.7,Person,2208928
49,Melanoma of the skin,2008,Persons,South Australia,738,46.5,116,7.3,Person,1597880
50,Melanoma of the skin,2008,Persons,Tasmania,277,55.6,40,8.0,Person,501774
51,Melanoma of the skin,2008,Persons,Australian Capital Territory,139,41.1,18,5.4,Person,351101
52,Melanoma of the skin,2008,Persons,Northern Territory,49,23.2,4,n.p.,Person,222526
53,Melanoma of the skin,2008,Persons,,"11,135",52.4,"1,383",6.5,Person,21475625
54,Melanoma of the skin,2009,Males,New South Wales,"2,190",62.5,353,10.1,Male,3526643
55,Melanoma of the skin,2009,Males,Victoria,"1,332",50.0,218,8.2,Male,2686022
56,Melanoma of the skin,2009,Males,Queensland,"1,787",82.6,198,9.2,Male,2181500
57,Melanoma of the skin,2009,Males,Western Australia,637,56.4,90,8.0,Male,1140480
58,Melanoma of the skin,2009,Males,South Australia,381,47.9,64,8.0,Male,800926
59,Melanoma of the skin,2009,Males,Tasmania,159,63.5,18,7.2,Male,251434
60,Melanoma of the skin,2009,Males,Australian Capital Territory,77,45.5,14,8.0,Male,177822
61,Melanoma of the skin,2009,Males,Northern Territory,30,26.6,3,n.p.,Male,119297
62,Melanoma of the skin,2009,Males,,"6,598",61.1,956,8.9,Male,10886022
63,Melanoma of the skin,2009,Females,New South Wales,"1,534",43.2,170,4.8,Female,3574861
64,Melanoma of the skin,2009,Females,Victoria,"1,048",38.7,95,3.5,Female,2733227
65,Melanoma of the skin,2009,Females,Queensland,"1,264",58.4,92,4.2,Female,2185954
66,Melanoma of the skin,2009,Females,Western Australia,399,35.9,47,4.2,Female,1123267
67,Melanoma of the skin,2009,Females,South Australia,289,35.5,26,3.2,Female,817652
68,Melanoma of the skin,2009,Females,Tasmania,115,45.3,16,6.3,Female,255027
69,Melanoma of the skin,2009,Females,Australian Capital Territory,57,33.2,6,3.2,Female,180037
70,Melanoma of the skin,2009,Females,Northern Territory,20,19.6,1,n.p.,Female,108486
71,Melanoma of the skin,2009,Females,,"4,708",43.2,454,4.2,Female,10979601
72,Melanoma of the skin,2009,Persons,New South Wales,"3,724",52.8,523,7.4,Person,7101504
73,Melanoma of the skin,2009,Persons,Victoria,"2,380",44.3,313,5.8,Person,5419249
74,Melanoma of the skin,2009,Persons,Queensland,"3,051",70.5,290,6.7,Person,4367454
75,Melanoma of the skin,2009,Persons,Western Australia,"1,036",46.2,137,6.1,Person,2263747
76,Melanoma of the skin,2009,Persons,South Australia,670,41.6,90,5.6,Person,1618578
77,Melanoma of the skin,2009,Persons,Tasmania,274,54.3,34,6.7,Person,506461
78,Melanoma of the skin,2009,Persons,Australian Capital Territory,135,39.3,19,5.6,Person,357859
79,Melanoma of the skin,2009,Persons,Northern Territory,50,23.3,4,n.p.,Person,227783
80,Melanoma of the skin,2009,Persons,,"11,306",52.1,"1,410",6.5,Person,21865623
81,Melanoma of the skin,2010,Males,New South Wales,"2,336",65.8,370,10.4,Male,3565558
82,Melanoma of the skin,2010,Males,Victoria,"1,304",48.2,202,7.5,Male,2720959
83,Melanoma of the skin,2010,Males,Queensland,"1,842",83.7,232,10.5,Male,2214429
84,Melanoma of the skin,2010,Males,Western Australia,646,56.0,88,7.6,Male,1167862
85,Melanoma of the skin,2010,Males,South Australia,386,47.9,67,8.3,Male,808037
86,Melanoma of the skin,2010,Males,Tasmania,158,62.5,20,7.9,Male,253833
87,Melanoma of the skin,2010,Males,Australian Capital Territory,74,43.0,14,7.9,Male,181314
88,Melanoma of the skin,2010,Males,Northern Territory,32,27.7,4,n.p.,Male,120979
89,Melanoma of the skin,2010,Males,,"6,796",62.0,995,9.1,Male,11034979
90,Melanoma of the skin,2010,Females,New South Wales,"1,563",43.5,144,4.0,Female,3614333
91,Melanoma of the skin,2010,Females,Victoria,971,35.2,92,3.3,Female,2774752
92,Melanoma of the skin,2010,Females,Queensland,"1,268",57.5,118,5.4,Female,2222453
93,Melanoma of the skin,2010,Females,Western Australia,388,34.1,37,3.3,Female,1151201
94,Melanoma of the skin,2010,Females,South Australia,311,37.8,18,2.2,Female,824445
95,Melanoma of the skin,2010,Females,Tasmania,134,52.4,10,3.9,Female,256386
96,Melanoma of the skin,2010,Females,Australian Capital Territory,50,28.5,5,3.1,Female,183519
97,Melanoma of the skin,2010,Females,Northern Territory,21,20.2,1,n.p.,Female,109534
98,Melanoma of the skin,2010,Females,,"4,703",42.5,423,3.8,Female,11137490
99,Melanoma of the skin,2010,Persons,New South Wales,"3,899",54.6,514,7.2,Person,7179891
100,Melanoma of the skin,2010,Persons,Victoria,"2,275",41.7,294,5.4,Person,5495711
101,Melanoma of the skin,2010,Persons,Queensland,"3,110",70.6,350,7.9,Person,4436882
102,Melanoma of the skin,2010,Persons,Western Australia,"1,034",45.1,125,5.5,Person,2319063
103,Melanoma of the skin,2010,Persons,South Australia,697,42.8,85,5.2,Person,1632482
104,Melanoma of the skin,2010,Persons,Tasmania,292,57.4,30,5.9,Person,510219
105,Melanoma of the skin,2010,Persons,Australian Capital Territory,124,35.7,19,5.5,Person,364833
106,Melanoma of the skin,2010,Persons,Northern Territory,53,24.1,5,2.2,Person,230460
107,Melanoma of the skin,2010,Persons,,"11,499",52.2,"1,418",6.4,Person,22172469
108,Melanoma of the skin,2011,Males,New South Wales,"2,399",66.9,366,10.2,Male,3604198
109,Melanoma of the skin,2011,Males,Victoria,"1,172",42.8,217,7.9,Male,2766513
110,Melanoma of the skin,2011,Males,Queensland,"1,924",86.1,247,11.1,Male,2253923
111,Melanoma of the skin,2011,Males,Western Australia,665,56.1,135,11.4,Male,1202068
112,Melanoma of the skin,2011,Males,South Australia,404,49.8,73,9.0,Male,815608
113,Melanoma of the skin,2011,Males,Tasmania,131,51.4,27,10.6,Male,254896
114,Melanoma of the skin,2011,Males,Australian Capital Territory,76,43.0,12,7.0,Male,184982
115,Melanoma of the skin,2011,Males,Northern Territory,33,28.0,3,n.p.,Male,122136
116,Melanoma of the skin,2011,Males,,"6,800",61.2,"1,076",9.7,Male,11206252
117,Melanoma of the skin,2011,Females,New South Wales,"1,616",44.5,153,4.2,Female,3654524
118,Melanoma of the skin,2011,Females,Victoria,900,32.2,107,3.8,Female,2825305
119,Melanoma of the skin,2011,Females,Queensland,"1,379",61.5,96,4.3,Female,2264726
120,Melanoma of the skin,2011,Females,Western Australia,449,38.4,46,3.9,Female,1183879
121,Melanoma of the skin,2011,Females,South Australia,287,34.7,26,3.1,Female,831575
122,Melanoma of the skin,2011,Females,Tasmania,129,50.3,16,6.2,Female,256984
123,Melanoma of the skin,2011,Females,Australian Capital Territory,48,27.0,5,2.8,Female,187088
124,Melanoma of the skin,2011,Females,Northern Territory,22,20.4,2,n.p.,Female,110816
125,Melanoma of the skin,2011,Females,,"4,837",43.1,453,4.0,Female,11315945
126,Melanoma of the skin,2011,Persons,New South Wales,"4,015",55.6,519,7.2,Person,7258722
127,Melanoma of the skin,2011,Persons,Victoria,"2,072",37.4,324,5.9,Person,5591818
128,Melanoma of the skin,2011,Persons,Queensland,"3,303",73.8,343,7.7,Person,4518649
129,Melanoma of the skin,2011,Persons,Western Australia,"1,114",47.3,181,7.7,Person,2385947
130,Melanoma of the skin,2011,Persons,South Australia,691,42.1,99,6.0,Person,1647183
131,Melanoma of the skin,2011,Persons,Tasmania,260,50.8,43,8.4,Person,511880
132,Melanoma of the skin,2011,Persons,Australian Capital Territory,124,34.9,17,4.9,Person,372070
133,Melanoma of the skin,2011,Persons,Northern Territory,55,24.4,5,2.1,Person,232952
134,Melanoma of the skin,2011,Persons,,"11,637",52.1,"1,529",6.8,Person,22522197
135,Melanoma of the skin,2012,Males,New South Wales,"2,490",68.7,368,10.1,Male,3650035
136,Melanoma of the skin,2012,Males,Victoria,"1,292",46.2,210,7.5,Male,2825349
137,Melanoma of the skin,2012,Males,Queensland,"2,014",88.4,231,10.1,Male,2299776
138,Melanoma of the skin,2012,Males,Western Australia,694,56.7,112,9.2,Male,1239615
139,Melanoma of the skin,2012,Males,South Australia,393,47.9,64,7.8,Male,823688
140,Melanoma of the skin,2012,Males,Tasmania,146,57.3,28,11.0,Male,254866
141,Melanoma of the skin,2012,Males,Australian Capital Territory,79,43.8,12,6.6,Male,188673
142,Melanoma of the skin,2012,Males,Northern Territory,37,31.1,5,3.8,Male,125043
143,Melanoma of the skin,2012,Males,,"7,152",63.2,"1,039",9.2,Male,11408788
144,Melanoma of the skin,2012,Females,New South Wales,"1,699",46.2,177,4.8,Female,3703154
