row,Cancer,Year,Sex,Age,Risk,Risk_1_X),Type
1,Melanoma of the skin,2007,Males,before age 10,0.0,. .,Diagnosis
3,Melanoma of the skin,2007,Males,before age 20,0.0137,"7,324",Diagnosis
5,Melanoma of the skin,2007,Males,before age 30,0.1088,919,Diagnosis
7,Melanoma of the skin,2007,Males,before age 40,0.3351,298,Diagnosis
9,Melanoma of the skin,2007,Males,before age 50,0.7493,133,Diagnosis
11,Melanoma of the skin,2007,Males,before age 60,1.6108,62,Diagnosis
13,Melanoma of the skin,2007,Males,before age 70,2.9764,34,Diagnosis
15,Melanoma of the skin,2007,Males,before age 80,4.6509,22,Diagnosis
17,Melanoma of the skin,2007,Males,before age 90,5.9184,17,Diagnosis
20,Melanoma of the skin,2007,Females,before age 10,0.0008,n.p.,Diagnosis
22,Melanoma of the skin,2007,Females,before age 20,0.0181,"5,525",Diagnosis
24,Melanoma of the skin,2007,Females,before age 30,0.1567,638,Diagnosis
26,Melanoma of the skin,2007,Females,before age 40,0.4616,217,Diagnosis
28,Melanoma of the skin,2007,Females,before age 50,0.9432,106,Diagnosis
30,Melanoma of the skin,2007,Females,before age 60,1.5659,64,Diagnosis
32,Melanoma of the skin,2007,Females,before age 70,2.3494,43,Diagnosis
34,Melanoma of the skin,2007,Females,before age 80,3.2603,31,Diagnosis
36,Melanoma of the skin,2007,Females,before age 90,3.9825,25,Diagnosis
39,Melanoma of the skin,2007,Persons,before age 10,0.0004,n.p.,Diagnosis
41,Melanoma of the skin,2007,Persons,before age 20,0.0158,"6,323",Diagnosis
43,Melanoma of the skin,2007,Persons,before age 30,0.1323,756,Diagnosis
45,Melanoma of the skin,2007,Persons,before age 40,0.3979,251,Diagnosis
47,Melanoma of the skin,2007,Persons,before age 50,0.8457,118,Diagnosis
49,Melanoma of the skin,2007,Persons,before age 60,1.5893,63,Diagnosis
51,Melanoma of the skin,2007,Persons,before age 70,2.6723,37,Diagnosis
53,Melanoma of the skin,2007,Persons,before age 80,3.9692,25,Diagnosis
55,Melanoma of the skin,2007,Persons,before age 90,4.9415,20,Diagnosis
58,Melanoma of the skin,2008,Males,before age 10,0.0007,n.p.,Diagnosis
60,Melanoma of the skin,2008,Males,before age 20,0.0175,"5,717",Diagnosis
62,Melanoma of the skin,2008,Males,before age 30,0.1112,900,Diagnosis
64,Melanoma of the skin,2008,Males,before age 40,0.3631,275,Diagnosis
66,Melanoma of the skin,2008,Males,before age 50,0.8251,121,Diagnosis
68,Melanoma of the skin,2008,Males,before age 60,1.6991,59,Diagnosis
70,Melanoma of the skin,2008,Males,before age 70,3.1358,32,Diagnosis
72,Melanoma of the skin,2008,Males,before age 80,4.8385,21,Diagnosis
74,Melanoma of the skin,2008,Males,before age 90,6.3051,16,Diagnosis
77,Melanoma of the skin,2008,Females,before age 10,0.0008,n.p.,Diagnosis
79,Melanoma of the skin,2008,Females,before age 20,0.0164,"6,111",Diagnosis
81,Melanoma of the skin,2008,Females,before age 30,0.1515,660,Diagnosis
83,Melanoma of the skin,2008,Females,before age 40,0.45,222,Diagnosis
85,Melanoma of the skin,2008,Females,before age 50,0.9103,110,Diagnosis
87,Melanoma of the skin,2008,Females,before age 60,1.6002,62,Diagnosis
89,Melanoma of the skin,2008,Females,before age 70,2.4483,41,Diagnosis
91,Melanoma of the skin,2008,Females,before age 80,3.3728,30,Diagnosis
93,Melanoma of the skin,2008,Females,before age 90,4.0896,24,Diagnosis
96,Melanoma of the skin,2008,Persons,before age 10,0.0007,n.p.,Diagnosis
98,Melanoma of the skin,2008,Persons,before age 20,0.0169,"5,901",Diagnosis
100,Melanoma of the skin,2008,Persons,before age 30,0.1309,764,Diagnosis
102,Melanoma of the skin,2008,Persons,before age 40,0.4061,246,Diagnosis
104,Melanoma of the skin,2008,Persons,before age 50,0.8672,115,Diagnosis
106,Melanoma of the skin,2008,Persons,before age 60,1.65,61,Diagnosis
108,Melanoma of the skin,2008,Persons,before age 70,2.8009,36,Diagnosis
110,Melanoma of the skin,2008,Persons,before age 80,4.1182,24,Diagnosis
