Cancer,Year,Sex,Age,Risk,Risk_1_X,Type
Melanoma of the skin,2007,Males,before age  5,0.0000,,Diagnosis
Melanoma of the skin,2007,Males,before age 10,0.0000,,Diagnosis
Melanoma of the skin,2007,Males,before age 15,0.0021,,Diagnosis
Melanoma of the skin,2007,Males,before age 20,0.0137,7324.0,Diagnosis
Melanoma of the skin,2007,Males,before age 25,0.0502,1992.0,Diagnosis
Melanoma of the skin,2007,Males,before age 30,0.1088,919.0,Diagnosis
Melanoma of the skin,2007,Males,before age 35,0.2147,466.0,Diagnosis
Melanoma of the skin,2007,Males,before age 40,0.3351,298.0,Diagnosis
Melanoma of the skin,2007,Males,before age 45,0.4919,203.0,Diagnosis
Melanoma of the skin,2007,Males,before age 50,0.7493,133.0,Diagnosis
Melanoma of the skin,2007,Males,before age 55,1.1137,90.0,Diagnosis
Melanoma of the skin,2007,Males,before age 60,1.6108,62.0,Diagnosis
Melanoma of the skin,2007,Males,before age 65,2.2288,45.0,Diagnosis
Melanoma of the skin,2007,Males,before age 70,2.9764,34.0,Diagnosis
Melanoma of the skin,2007,Males,before age 75,3.8206,26.0,Diagnosis
Melanoma of the skin,2007,Males,before age 80,4.6509,22.0,Diagnosis
Melanoma of the skin,2007,Males,before age 85,5.4199,18.0,Diagnosis
Melanoma of the skin,2007,Males,before age 90,5.9184,17.0,Diagnosis
Melanoma of the skin,2007,Males,Lifetime,6.2183,16.0,Diagnosis
Melanoma of the skin,2007,Females,before age  5,0.0000,,Diagnosis
Melanoma of the skin,2007,Females,before age 10,0.0008,,Diagnosis
Melanoma of the skin,2007,Females,before age 15,0.0037,,Diagnosis
Melanoma of the skin,2007,Females,before age 20,0.0181,5525.0,Diagnosis
Melanoma of the skin,2007,Females,before age 25,0.0749,1336.0,Diagnosis
Melanoma of the skin,2007,Females,before age 30,0.1567,638.0,Diagnosis
Melanoma of the skin,2007,Females,before age 35,0.2798,357.0,Diagnosis
Melanoma of the skin,2007,Females,before age 40,0.4616,217.0,Diagnosis
Melanoma of the skin,2007,Females,before age 45,0.6756,148.0,Diagnosis
Melanoma of the skin,2007,Females,before age 50,0.9432,106.0,Diagnosis
Melanoma of the skin,2007,Females,before age 55,1.2252,82.0,Diagnosis
Melanoma of the skin,2007,Females,before age 60,1.5659,64.0,Diagnosis
Melanoma of the skin,2007,Females,before age 65,1.9437,51.0,Diagnosis
Melanoma of the skin,2007,Females,before age 70,2.3494,43.0,Diagnosis
Melanoma of the skin,2007,Females,before age 75,2.7900,36.0,Diagnosis
Melanoma of the skin,2007,Females,before age 80,3.2603,31.0,Diagnosis
Melanoma of the skin,2007,Females,before age 85,3.6950,27.0,Diagnosis
Melanoma of the skin,2007,Females,before age 90,3.9825,25.0,Diagnosis
Melanoma of the skin,2007,Females,Lifetime,4.1966,24.0,Diagnosis
Melanoma of the skin,2007,Persons,before age  5,0.0000,,Diagnosis
Melanoma of the skin,2007,Persons,before age 10,0.0004,,Diagnosis
Melanoma of the skin,2007,Persons,before age 15,0.0029,,Diagnosis
Melanoma of the skin,2007,Persons,before age 20,0.0158,6323.0,Diagnosis
