Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa,58.060408,61.4732377,58.7142366,57.6338789,58.4481454,60.785044,63.5727968,65.2354883,68.38672,72.4138434,77.7239788,83.6531756,87.8048863,85.7818931,91.0304799,92.7209589,96.782273,99.4670635,101.672559,104.89269,114.030018,117.700384,118.667902,126.181117,136.450269,140.428856,142.826049,153.28854,165.408906,177.082164,189.89007,200.782542,206.808917,218.367619
Africa (EI),58.060408,61.4732377,58.7142366,57.6338789,58.4481454,60.785044,63.5727969,65.2354883,68.38672,72.4138433,77.7239788,83.6531856,87.8048863,85.7818829,91.0304859,92.7209589,96.782269,99.4670635,101.672559,104.892685,114.030018,117.700385,118.667902,126.181117,136.450268,140.428846,142.826049,153.28854,165.408927,177.082164,189.89007,200.782542,206.80892,218.367618
Algeria,0.135,0.293,0.199,0.353,0.166,0.193,0.135,0.075,0.215,0.203,0.054,0.069,0.057,0.265,0.251,0.5553,0.2176,0.226,0.283,0.342,0.1821,0.39611875,0.41572301,0.1276,0.254,0.222,0.33605206,0.579,0.73,0.777,0.7423,0.6838,0.681,0.73378
Argentina,17.8461968,16.0002611,19.2950759,23.8643021,27.3856804,26.6226971,22.7043236,28.1180155,26.7149553,21.693598,28.9960633,36.9925753,36.3822672,34.7591926,31.4024304,35.2044375,39.131252,32.3527033,32.4477709,35.8440304,34.7627107,32.6046513,30.9955385,34.7667154,34.534956,34.4328592,31.491441,33.6839664,35.2167636,34.7758187,36.6242238,37.0418423,42.2274621,49.9219183
Asia,463.059128,468.436546,472.065182,522.381178,522.267796,567.108113,563.831344,565.810985,599.985069,589.2803,610.000878,656.869957,680.575543,708.676768,832.329842,868.595734,959.746074,1015.80981,1160.70231,1158.60455,1352.19588,1410.2756,1616.03392,1791.0663,1999.63757,2150.09569,2335.83238,2561.79833,2810.0084,3095.88409,3319.49178,3655.60592,4015.75027,4273.31942
Asia Pacific (EI),421.841401,433.671806,424.949196,463.763119,470.39828,515.610195,505.996952,512.59489,545.979887,543.889668,569.588384,620.089281,630.964416,650.285121,763.15815,802.433493,887.534247,951.271863,1116.92257,1115.37747,1283.54245,1348.33126,1541.48376,1717.19499,1945.19469,2071.39836,2249.06388,2469.04343,2724.37748,2947.03437,3191.97938,3555.81044,3901.5714,4141.73527
Australia,15.519,16.37845,16.6236,17.0736,16.8694,16.48465,16.9476,16.98765,16.9326,17.4986,17.53675,17.26215,17.95365,18.6696,19.36985,20.7198,21.1372,20.2898,19.1089,20.156842,22.1501983,30.6224966,30.27085,35.52705,32.759362,35.793157,41.7364145,39.18975,49.493547,55.2567952,64.2828142,77.276414,87.441743,95.249108
Austria,32.651485,32.669232,36.177564,38.067666,36.919055,38.926444,35.811554,37.838667,39.053111,42.3490318,43.4339293,42.300294,41.959444,35.307914,39.764013,40.8875781,40.6860314,43.1949988,44.5488533,47.1940121,45.0162729,40.9196884,51.3384781,50.5061989,50.1997625,47.596935,51.0977118,51.0676713,50.0668141,54.6464059,55.4336322,52.7654992,49.715355,56.6154748
Azerbaijan,1.658,1.7593,1.7473,2.426,1.83,1.556,1.537,1.712,1.951,1.506,1.534,1.301,2.02,2.47,2.755,3.0094,2.518,2.364,2.232,2.3105,3.4468,2.6758,1.821,1.5577,1.3919,1.7376,2.10465,1.89085,1.97106,1.81235,1.3129,1.5205,1.84255,2.0109
Bangladesh,0.884,0.838,0.796,0.608,0.847,0.372,0.739,0.719,0.865,0.833,0.74901,0.993014,0.749066,0.74985,0.750914,0.752402,0.756033,0.759647,0.968114,0.447489,0.778995,1.001615,0.939246,0.9292097,0.80478846,1.17270545,1.1133756,1.3298651,1.1892031,1.2059302,1.16853362,1.30348275,1.64995956,1.97232554
Belarus,0.02,0.018,0.017,0.019,0.019,0.02,0.016,0.021,0.028,0.019,0.027,0.03,0.029,0.028,0.0340101,0.037,0.038,0.05,0.073,0.106,0.13,0.141,0.173,0.2284,0.211,0.253,0.335,0.698,0.65,0.806,1.023,1.2567,1.2742112,1.13254067
Belgium,0.555,0.536,0.617,0.507,0.6,0.668,0.561,0.588,0.759,0.85,1.044,1.075,1.138,1.192,1.497,2.106,2.952,3.486,4.418,5.439,6.6307,8.3342,10.5216,11.7314,12.2191,14.4606,14.2603,15.8103,17.1887,19.4835,23.4663,22.7247,24.4355,26.8729913
Brazil,210.567062,221.781613,228.272361,240.048937,248.093324,259.498841,272.49051,286.355451,298.979413,301.378032,312.259663,276.933307,296.423347,317.616463,333.372956,351.192777,363.888109,392.741366,390.525657,415.101942,437.408763,463.666729,456.159445,438.544505,432.744574,431.307739,465.819782,467.023636,495.289878,515.438117,522.922095,507.580931,593.904806,631.476934
Bulgaria,1.63,2.268,1.903,1.787,1.296,2.174,2.888,2.724,3.068,2.732,2.631,1.651,2.116,2.995,3.139811,4.302015,4.233021,2.876709,2.930167,3.67939,5.762814,3.889275,5.243057,6.91335,7.389649,8.757899,7.046416,6.131118,9.380455,7.484584,7.46559,10.308256,9.639836,10.0324474
CIS (EI),211.3036,211.5233,216.0635,222.639,226.391,220.3742,198.873,197.911,198.396,203.222,208.5112,217.42349,207.5032,206.08796,226.24535,223.98063,222.52764,227.91826,208.19689,218.887267,217.46882,213.41445,213.658903,230.111203,222.180848,216.847485,237.675955,242.478115,246.822124,252.273451,269.821287,275.351298,261.810222,269.280217
Canada,299.639239,311.261919,319.700703,327.091953,333.649653,341.260428,362.18848,356.916797,339.929289,354.119212,365.957534,341.541759,359.748471,346.269454,349.162139,372.695619,364.319412,379.645816,389.29021,384.380109,370.662106,396.697793,403.373264,415.468923,407.233886,422.041791,431.757392,440.819941,433.703885,429.032974,436.599808,435.949589,452.275186,421.158881
Central America (EI),12.8632796,12.6623329,12.6084471,13.74556,13.3087392,13.2130269,14.9878277,14.6922278,14.5276033,17.5087036,18.3460569,16.9442552,18.0423224,18.8683307,20.0111426,21.3867825,22.5839646,22.9596236,25.2128409,24.6006589,27.6960514,27.7576187,30.3620581,30.5963882,31.4835271,34.2709414,35.9640029,40.2102687,42.1164323,38.4263341,43.10091,47.1548392,48.001973,42.6628047
Chile,9.904428,14.168654,18.48315,18.967321,18.771472,20.292738,18.611468,20.686148,17.098255,15.027,20.456,23.37,24.975,24.305,23.005337,27.3725,29.65305,25.04206,27.8924904,28.6500062,25.4972773,25.1620276,26.5539252,27.3550492,29.9367841,32.662386,31.415046,36.296549,41.2306377,40.567039,42.089931,43.02411,51.0664907,57.9851793
China,126.81199,124.764041,130.933393,152.179281,168.277808,194.217162,189.605939,198.91098,201.739556,199.590737,225.558899,280.734192,291.401374,287.27697,357.425778,404.369061,446.725818,500.720293,665.078,664.397318,786.38395,792.387,999.571514,1093.38326,1289.23478,1393.65771,1522.79072,1667.06391,1835.31223,2014.56323,2184.93456,2448.72523,2670.58732,2894.14073
Colombia,27.769852,27.99508,22.620584,28.245392,32.50239,32.4664,35.783624,31.95876,31.313685,34.157657,31.313553,32.1313268,34.4636883,36.677765,38.8570017,39.7828973,43.1405975,44.7990074,46.7241475,41.8983591,41.7060123,49.8471396,49.1126233,45.7668486,46.5411153,46.5731817,48.8326176,59.3270607,58.8254704,57.0765078,52.858927,63.8641486,67.8201097,64.325031
Croatia,3.9282,5.5353,4.3551,4.5688,5.4409,5.6918,7.8717,5.8544,6.0304,7.3362,6.4539,7.1804,5.8514,5.4578,7.6326,7.0595,6.647,4.7417,5.841,7.482661,9.29846,5.287269,5.261956,9.275965,9.935842,7.509376,8.363312,7.1157,9.7813,8.3468,8.5506,10.5279,8.9509,11.9594669
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000755,0.000921,0.001512,0.003489,0.015356,0.031356,0.073,0.178,0.257,0.327,0.318,0.399752,0.424659,0.43522,0.4638,0.514752,0.596648,0.774756,0.883965,1.0835933
Czechia,1.161,1.089,1.402,1.53,1.781,2.407,2.261,2.193,1.983271,2.357739,2.28279,2.57679,2.997407,1.877489,2.742571,3.132979,3.518012,3.41152,3.731012,4.654945,5.903156,7.245512,8.06529,9.308386,9.17707703,9.4273236,9.39923164,9.62205675,9.4046209,10.0271169,10.2935934,10.5479724,10.4373878,10.3999926
