Year,Sex,Incident,Mortality,Population,State
2007,Males,2126,339,3413653,New South Wales
2007,Males,1188,182,2574619,Victoria
2007,Males,1591,211,2076128,Queensland
2007,Males,575,88,1075987,Western Australia
2007,Males,342,55,779355,South Australia
2007,Males,127,12,245319,Tasmania
2007,Males,72,14,170383,Australian Capital Territory
2007,Males,30,3,112777,Northern Territory
2007,Males,6034,909,10449776,
2007,Females,1420,138,3470199,New South Wales
2007,Females,986,95,2624884,Victoria
2007,Females,1125,90,2083862,Queensland
2007,Females,412,36,1059019,Western Australia
2007,Females,279,34,799134,South Australia
2007,Females,109,4,250539,Tasmania
2007,Females,59,4,173793,Australian Capital Territory
2007,Females,20,1,103841,Northern Territory
2007,Females,4400,400,10566345,
2007,Persons,3546,477,6883852,New South Wales
2007,Persons,2174,277,5199503,Victoria
2007,Persons,2716,301,4159990,Queensland
2007,Persons,987,124,2135006,Western Australia
2007,Persons,621,89,1578489,South Australia
2007,Persons,236,16,495858,Tasmania
2007,Persons,131,18,344176,Australian Capital Territory
2007,Persons,50,4,216618,Northern Territory
2007,Persons,10434,1309,21016121,
2008,Males,2155,347,3476199,New South Wales
2008,Males,1247,187,2633317,Victoria
2008,Males,1776,213,2135996,Queensland
2008,Males,658,93,1113633,Western Australia
2008,Males,413,78,789696,South Australia
2008,Males,163,27,248714,Tasmania
2008,Males,76,14,174242,Australian Capital Territory
2008,Males,29,3,116223,Northern Territory
2008,Males,6529,959,10689738,
2008,Females,1489,150,3525583,New South Wales
2008,Females,982,89,2679968,Victoria
2008,Females,1193,95,2139555,Queensland
2008,Females,425,30,1095295,Western Australia
2008,Females,325,38,808184,South Australia
2008,Females,114,13,253060,Tasmania
2008,Females,62,5,176859,Australian Capital Territory
2008,Females,20,1,106303,Northern Territory
2008,Females,4606,424,10785887,
2008,Persons,3644,497,7001782,New South Wales
2008,Persons,2229,276,5313285,Victoria
2008,Persons,2969,308,4275551,Queensland
2008,Persons,1083,123,2208928,Western Australia
2008,Persons,738,116,1597880,South Australia
2008,Persons,277,40,501774,Tasmania
2008,Persons,139,18,351101,Australian Capital Territory
2008,Persons,49,4,222526,Northern Territory
2008,Persons,11135,1383,21475625,
2009,Males,2190,353,3526643,New South Wales
2009,Males,1332,218,2686022,Victoria
2009,Males,1787,198,2181500,Queensland
