Year,State,Incident
2007,New South Wales,2126
2007,Victoria,1188
2007,Queensland,1591
2007,Western Australia,575
2007,South Australia,342
2007,Tasmania,127
2007,Australian Capital Territory,72
2007,Northern Territory,30
2007,New South Wales,1420
2007,Victoria,986
2007,Queensland,1125
2007,Western Australia,412
2007,South Australia,279
2007,Tasmania,109
2007,Australian Capital Territory,59
2007,Northern Territory,20
2007,New South Wales,3546
2007,Victoria,2174
2007,Queensland,2716
2007,Western Australia,987
2007,South Australia,621
2007,Tasmania,236
2007,Australian Capital Territory,131
2007,Northern Territory,50
2008,New South Wales,2155
2008,Victoria,1247
2008,Queensland,1776
2008,Western Australia,658
2008,South Australia,413
2008,Tasmania,163
2008,Australian Capital Territory,76
2008,Northern Territory,29
2008,New South Wales,1489
2008,Victoria,982
2008,Queensland,1193
2008,Western Australia,425
2008,South Australia,325
2008,Tasmania,114
2008,Australian Capital Territory,62
2008,Northern Territory,20
2008,New South Wales,3644
2008,Victoria,2229
2008,Queensland,2969
2008,Western Australia,1083
2008,South Australia,738
2008,Tasmania,277
2008,Australian Capital Territory,139
2008,Northern Territory,49
2009,New South Wales,2190
2009,Victoria,1332
2009,Queensland,1787
2009,Western Australia,637
2009,South Australia,381
2009,Tasmania,159
2009,Australian Capital Territory,77
2009,Northern Territory,30
2009,New South Wales,1534
2009,Victoria,1048
2009,Queensland,1264
2009,Western Australia,399
2009,South Australia,289
2009,Tasmania,115
2009,Australian Capital Territory,57
2009,Northern Territory,20
2009,New South Wales,3724
2009,Victoria,2380
2009,Queensland,3051
2009,Western Australia,1036
2009,South Australia,670
2009,Tasmania,274
2009,Australian Capital Territory,135
2009,Northern Territory,50
2010,New South Wales,2336
2010,Victoria,1304
2010,Queensland,1842
2010,Western Australia,646
2010,South Australia,386
2010,Tasmania,158
2010,Australian Capital Territory,74
2010,Northern Territory,32
2010,New South Wales,1563
2010,Victoria,971
2010,Queensland,1268
2010,Western Australia,388
2010,South Australia,311
2010,Tasmania,134
2010,Australian Capital Territory,50
2010,Northern Territory,21
2010,New South Wales,3899
2010,Victoria,2275
2010,Queensland,3110
2010,Western Australia,1034
2010,South Australia,697
2010,Tasmania,292
2010,Australian Capital Territory,124
2010,Northern Territory,53
2011,New South Wales,2399
2011,Victoria,1172
2011,Queensland,1924
2011,Western Australia,665
2011,South Australia,404
2011,Tasmania,131
2011,Australian Capital Territory,76
2011,Northern Territory,33
2011,New South Wales,1616
2011,Victoria,900
2011,Queensland,1379
2011,Western Australia,449
2011,South Australia,287
2011,Tasmania,129
2011,Australian Capital Territory,48
2011,Northern Territory,22
2011,New South Wales,4015
2011,Victoria,2072
2011,Queensland,3303
2011,Western Australia,1114
2011,South Australia,691
2011,Tasmania,260
2011,Australian Capital Territory,124
2011,Northern Territory,55
2012,New South Wales,2490
2012,Victoria,1292
2012,Queensland,2014
2012,Western Australia,694
2012,South Australia,393
2012,Tasmania,146
2012,Australian Capital Territory,79
2012,Northern Territory,37
2012,New South Wales,1699
2012,Victoria,988
2012,Queensland,1430
2012,Western Australia,451
2012,South Australia,302
2012,Tasmania,109
2012,Australian Capital Territory,54
2012,Northern Territory,23
2012,New South Wales,4189
2012,Victoria,2280
2012,Queensland,3444
2012,Western Australia,1145
2012,South Australia,695
2012,Tasmania,255
2012,Australian Capital Territory,132
2012,Northern Territory,60
2013,New South Wales,2540
2013,Victoria,1330
2013,Queensland,2163
2013,Western Australia,780
2013,South Australia,437
2013,Tasmania,139
2013,Australian Capital Territory,81
2013,Northern Territory,39
2013,New South Wales,1767
2013,Victoria,1002
2013,Queensland,1530
2013,Western Australia,532
2013,South Australia,284
2013,Tasmania,136
2013,Australian Capital Territory,54
2013,Northern Territory,24
2013,New South Wales,4307
2013,Victoria,2332
2013,Queensland,3693
2013,Western Australia,1312
2013,South Australia,721
2013,Tasmania,275
2013,Australian Capital Territory,135
2013,Northern Territory,63
2014,New South Wales,2558
2014,Victoria,1402
2014,Queensland,2199
2014,Western Australia,770
2014,South Australia,478
2014,Tasmania,163
2014,Australian Capital Territory,81
2014,Northern Territory,43
2014,New South Wales,1797
2014,Victoria,1064
2014,Queensland,1507
2014,Western Australia,530
2014,South Australia,310
2014,Tasmania,169
2014,Australian Capital Territory,63
2014,Northern Territory,25
2014,New South Wales,4355
2014,Victoria,2466
2014,Queensland,3706
2014,Western Australia,1300
2014,South Australia,788
2014,Tasmania,332
2014,Australian Capital Territory,144
2014,Northern Territory,68
2015,New South Wales,2581
2015,Victoria,1533
2015,Queensland,2192
2015,Western Australia,895
2015,South Australia,471
2015,Tasmania,166
2015,Australian Capital Territory,84
2015,Northern Territory,48
2015,New South Wales,1780
2015,Victoria,1162
2015,Queensland,1561
2015,Western Australia,669
2015,South Australia,295
2015,Tasmania,136
2015,Australian Capital Territory,70
2015,Northern Territory,27
2015,New South Wales,4361
2015,Victoria,2695
2015,Queensland,3753
2015,Western Australia,1564
2015,South Australia,766
2015,Tasmania,302
2015,Australian Capital Territory,153
2015,Northern Territory,75
2016,New South Wales,2858
2016,Victoria,1569
2016,Queensland,2331
2016,Western Australia,912
2016,South Australia,463
2016,Tasmania,185
2016,Australian Capital Territory,92
2016,Northern Territory,54
2016,New South Wales,1927
2016,Victoria,1251
2016,Queensland,1633
2016,Western Australia,624
2016,South Australia,341
2016,Tasmania,148
2016,Australian Capital Territory,75
2016,Northern Territory,28
2016,New South Wales,4785
2016,Victoria,2820
2016,Queensland,3964
2016,Western Australia,1536
2016,South Australia,804
2016,Tasmania,333
2016,Australian Capital Territory,167
2016,Northern Territory,82
2017,New South Wales,2975
2017,Victoria,1673
2017,Queensland,2477
2017,Western Australia,867
2017,South Australia,467
2017,Tasmania,181
2017,Australian Capital Territory,107
2017,Northern Territory,52
2017,New South Wales,1957
2017,Victoria,1310
2017,Queensland,1671
2017,Western Australia,586
2017,South Australia,332
2017,Tasmania,158
2017,Australian Capital Territory,77
2017,Northern Territory,29
2017,New South Wales,4932
2017,Victoria,2983
2017,Queensland,4148
2017,Western Australia,1453
2017,South Australia,799
2017,Tasmania,339
2017,Australian Capital Territory,184
2017,Northern Territory,81
2018,New South Wales,2984
2018,Victoria,1766
2018,Queensland,2341
2018,Western Australia,857
2018,South Australia,476
2018,Tasmania,205
2018,Australian Capital Territory,114
2018,Northern Territory,53
2018,New South Wales,2021
2018,Victoria,1311
2018,Queensland,1731
2018,Western Australia,627
2018,South Australia,309
2018,Tasmania,196
2018,Australian Capital Territory,81
2018,Northern Territory,30
2018,New South Wales,5005
2018,Victoria,3078
