Country,Year,Total_Renewable_Energy
Africa,1990,58.06040795
Africa,1991,61.473237700000006
Africa,1992,58.71423657
Africa,1993,57.63387893
Africa,1994,58.44814536
Africa,1995,60.785044
Africa,1996,63.5727968
Africa,1997,65.2354883
Africa,1998,68.38672
Africa,1999,72.41384339999999
Africa,2000,77.7239788
Africa,2001,83.6531756
Africa,2002,87.804886334
Africa,2003,85.78189309499999
Africa,2004,91.030479879
Africa,2005,92.720958864
Africa,2006,96.78227301
Africa,2007,99.46706350699999
Africa,2008,101.67255937
Africa,2009,104.89269013
Africa,2010,114.03001824
Africa,2011,117.7003843
Africa,2012,118.6679024
Africa,2013,126.18111657
Africa,2014,136.450269
Africa,2015,140.4288556
Africa,2016,142.8260487
Africa,2017,153.2885404
Africa,2018,165.408906
Africa,2019,177.082164
Africa,2020,189.8900696
Africa,2021,200.782542
Africa,2022,206.808917
Africa,2023,218.367619
Africa (EI),1990,58.06040795
Africa (EI),1991,61.473237700000006
Africa (EI),1992,58.71423657
Africa (EI),1993,57.63387893
Africa (EI),1994,58.44814536
Africa (EI),1995,60.785044
Africa (EI),1996,63.5727969
Africa (EI),1997,65.2354883
Africa (EI),1998,68.38672
Africa (EI),1999,72.4138433
Africa (EI),2000,77.7239788
Africa (EI),2001,83.6531856
Africa (EI),2002,87.804886313
Africa (EI),2003,85.78188289500001
Africa (EI),2004,91.03048588
Africa (EI),2005,92.720958864
Africa (EI),2006,96.78226901000001
Africa (EI),2007,99.46706350699999
Africa (EI),2008,101.67255917
Africa (EI),2009,104.89268493
Africa (EI),2010,114.03001824
Africa (EI),2011,117.7003845
Africa (EI),2012,118.66790230000001
Africa (EI),2013,126.18111657
Africa (EI),2014,136.4502683
Africa (EI),2015,140.4288456
Africa (EI),2016,142.8260487
Africa (EI),2017,153.2885404
Africa (EI),2018,165.408927
Africa (EI),2019,177.082164
Africa (EI),2020,189.8900696
Africa (EI),2021,200.7825424
Africa (EI),2022,206.80892
Africa (EI),2023,218.367618
Algeria,1990,0.135
Algeria,1991,0.293
Algeria,1992,0.199
Algeria,1993,0.353
Algeria,1994,0.166
Algeria,1995,0.193
Algeria,1996,0.135
Algeria,1997,0.075
Algeria,1998,0.215
Algeria,1999,0.203
Algeria,2000,0.054
Algeria,2001,0.069
Algeria,2002,0.057
Algeria,2003,0.265
Algeria,2004,0.251
Algeria,2005,0.5553
Algeria,2006,0.2176
Algeria,2007,0.226
Algeria,2008,0.283
Algeria,2009,0.342
Algeria,2010,0.18209999999999998
Algeria,2011,0.39611875
Algeria,2012,0.415723014
Algeria,2013,0.1276
Algeria,2014,0.254
Algeria,2015,0.22199999999999998
Algeria,2016,0.336052055
Algeria,2017,0.5790000000000001
Algeria,2018,0.73
Algeria,2019,0.777
Algeria,2020,0.7423000000000001
Algeria,2021,0.6838
Algeria,2022,0.681
Algeria,2023,0.73378
Argentina,1990,17.84619682
Argentina,1991,16.0002611
Argentina,1992,19.29507593
Argentina,1993,23.86430208
Argentina,1994,27.385680395
Argentina,1995,26.622697126
Argentina,1996,22.704323640000002
Argentina,1997,28.11801552
Argentina,1998,26.71495525
Argentina,1999,21.69359796
Argentina,2000,28.9960633
Argentina,2001,36.99257525
Argentina,2002,36.3822672
Argentina,2003,34.75919255
Argentina,2004,31.40243035
Argentina,2005,35.20443746
Argentina,2006,39.131252
Argentina,2007,32.3527033
Argentina,2008,32.44777088
Argentina,2009,35.844030412
Argentina,2010,34.762710696
Argentina,2011,32.60465125
Argentina,2012,30.995538467
Argentina,2013,34.766715448999996
Argentina,2014,34.534955999999994
Argentina,2015,34.4328592
Argentina,2016,31.491441000000002
Argentina,2017,33.683966399999996
Argentina,2018,35.2167636
Argentina,2019,34.77581874
Argentina,2020,36.624223799999996
Argentina,2021,37.0418423
Argentina,2022,42.227462100000004
Argentina,2023,49.9219183
Asia,1990,463.059128232
Asia,1991,468.43654591
Asia,1992,472.06518213100003
Asia,1993,522.381177802
Asia,1994,522.267796
Asia,1995,567.108113303
Asia,1996,563.8313444
Asia,1997,565.810984955
Asia,1998,599.9850692499999
Asia,1999,589.28029961
Asia,2000,610.00087845
Asia,2001,656.86995714
Asia,2002,680.5755426400001
Asia,2003,708.6767676
Asia,2004,832.329842
Asia,2005,868.5957335
Asia,2006,959.7460738
Asia,2007,1015.809805
Asia,2008,1160.7023076
Asia,2009,1158.6045490000001
Asia,2010,1352.1958774
Asia,2011,1410.275599
Asia,2012,1616.033919
Asia,2013,1791.066302
Asia,2014,1999.637574
Asia,2015,2150.0956850000002
Asia,2016,2335.83238
Asia,2017,2561.79833
Asia,2018,2810.0083999999997
Asia,2019,3095.88409
Asia,2020,3319.49178
Asia,2021,3655.60592
Asia,2022,4015.75027
Asia,2023,4273.31942
Asia Pacific (EI),1990,421.841401234
