Country,Year,Total_Renewable_Energy,Continent
Africa,1990,58.06040795,Africa
Africa,1991,61.473237700000006,Africa
Africa,1992,58.71423657,Africa
Africa,1993,57.63387893,Africa
Africa,1994,58.44814536,Africa
Africa,1995,60.785044,Africa
Africa,1996,63.5727968,Africa
Africa,1997,65.2354883,Africa
Africa,1998,68.38672,Africa
Africa,1999,72.41384339999999,Africa
Africa,2000,77.7239788,Africa
Africa,2001,83.6531756,Africa
Africa,2002,87.804886334,Africa
Africa,2003,85.78189309499999,Africa
Africa,2004,91.030479879,Africa
Africa,2005,92.720958864,Africa
Africa,2006,96.78227301,Africa
Africa,2007,99.467063507,Africa
Africa,2008,101.67255937,Africa
Africa,2009,104.89269013,Africa
Africa,2010,114.03001824,Africa
Africa,2011,117.7003843,Africa
Africa,2012,118.6679024,Africa
Africa,2013,126.18111657,Africa
Africa,2014,136.450269,Africa
Africa,2015,140.4288556,Africa
Africa,2016,142.8260487,Africa
Africa,2017,153.2885404,Africa
Africa,2018,165.408906,Africa
Africa,2019,177.082164,Africa
Africa,2020,189.8900696,Africa
Africa,2021,200.782542,Africa
Africa,2022,206.808917,Africa
Africa,2023,218.367619,Africa
Africa (EI),1990,58.06040795,Africa
Africa (EI),1991,61.473237700000006,Africa
Africa (EI),1992,58.71423657,Africa
Africa (EI),1993,57.63387893,Africa
Africa (EI),1994,58.44814536,Africa
Africa (EI),1995,60.785044,Africa
Africa (EI),1996,63.5727969,Africa
Africa (EI),1997,65.2354883,Africa
Africa (EI),1998,68.38672,Africa
Africa (EI),1999,72.4138433,Africa
Africa (EI),2000,77.7239788,Africa
Africa (EI),2001,83.6531856,Africa
Africa (EI),2002,87.804886313,Africa
Africa (EI),2003,85.78188289500001,Africa
Africa (EI),2004,91.03048588,Africa
Africa (EI),2005,92.720958864,Africa
Africa (EI),2006,96.78226901,Africa
Africa (EI),2007,99.467063507,Africa
Africa (EI),2008,101.67255917,Africa
Africa (EI),2009,104.89268493,Africa
Africa (EI),2010,114.03001824,Africa
Africa (EI),2011,117.7003845,Africa
Africa (EI),2012,118.6679023,Africa
Africa (EI),2013,126.18111657,Africa
Africa (EI),2014,136.4502683,Africa
Africa (EI),2015,140.4288456,Africa
Africa (EI),2016,142.8260487,Africa
Africa (EI),2017,153.2885404,Africa
Africa (EI),2018,165.408927,Africa
Africa (EI),2019,177.082164,Africa
Africa (EI),2020,189.8900696,Africa
Africa (EI),2021,200.7825424,Africa
Africa (EI),2022,206.80892,Africa
Africa (EI),2023,218.367618,Africa
Algeria,1990,0.135,Africa
Algeria,1991,0.293,Africa
Algeria,1992,0.199,Africa
Algeria,1993,0.353,Africa
Algeria,1994,0.166,Africa
Algeria,1995,0.193,Africa
Algeria,1996,0.135,Africa
Algeria,1997,0.075,Africa
Algeria,1998,0.215,Africa
Algeria,1999,0.203,Africa
Algeria,2000,0.054,Africa
Algeria,2001,0.069,Africa
Algeria,2002,0.057,Africa
Algeria,2003,0.265,Africa
Algeria,2004,0.251,Africa
Algeria,2005,0.5553,Africa
Algeria,2006,0.2176,Africa
Algeria,2007,0.226,Africa
Algeria,2008,0.283,Africa
Algeria,2009,0.342,Africa
Algeria,2010,0.1820999999999999,Africa
Algeria,2011,0.39611875,Africa
Algeria,2012,0.415723014,Africa
Algeria,2013,0.1276,Africa
Algeria,2014,0.254,Africa
Algeria,2015,0.2219999999999999,Africa
Algeria,2016,0.336052055,Africa
Algeria,2017,0.5790000000000001,Africa
Algeria,2018,0.73,Africa
Algeria,2019,0.777,Africa
Algeria,2020,0.7423000000000001,Africa
Algeria,2021,0.6838,Africa
Algeria,2022,0.681,Africa
Algeria,2023,0.73378,Africa
Argentina,1990,17.84619682,South America
Argentina,1991,16.0002611,South America
Argentina,1992,19.29507593,South America
Argentina,1993,23.86430208,South America
Argentina,1994,27.385680395,South America
Argentina,1995,26.622697126,South America
Argentina,1996,22.70432364,South America
Argentina,1997,28.11801552,South America
Argentina,1998,26.71495525,South America
Argentina,1999,21.69359796,South America
Argentina,2000,28.9960633,South America
Argentina,2001,36.99257525,South America
Argentina,2002,36.3822672,South America
Argentina,2003,34.75919255,South America
Argentina,2004,31.40243035,South America
Argentina,2005,35.20443746,South America
Argentina,2006,39.131252,South America
Argentina,2007,32.3527033,South America
Argentina,2008,32.44777088,South America
Argentina,2009,35.844030412,South America
Argentina,2010,34.762710696,South America
Argentina,2011,32.60465125,South America
Argentina,2012,30.995538467,South America
Argentina,2013,34.766715449,South America
Argentina,2014,34.534955999999994,South America
Argentina,2015,34.4328592,South America
Argentina,2016,31.491441,South America
Argentina,2017,33.6839664,South America
Argentina,2018,35.2167636,South America
Argentina,2019,34.77581874,South America
Argentina,2020,36.6242238,South America
Argentina,2021,37.0418423,South America
Argentina,2022,42.2274621,South America
Argentina,2023,49.9219183,South America
Asia,1990,463.059128232,Asia
Asia,1991,468.43654591,Asia
Asia,1992,472.065182131,Asia
Asia,1993,522.381177802,Asia
Asia,1994,522.267796,Asia
Asia,1995,567.108113303,Asia
Asia,1996,563.8313444,Asia
Asia,1997,565.810984955,Asia
Asia,1998,599.9850692499999,Asia
Asia,1999,589.28029961,Asia
Asia,2000,610.00087845,Asia
Asia,2001,656.86995714,Asia
