Year,Sex,Type,Cases,Population,State
2007,Males,Incident,2126,3413653,New South Wales
2007,Males,Incident,1188,2574619,Victoria
2007,Males,Incident,1591,2076128,Queensland
2007,Males,Incident,575,1075987,Western Australia
2007,Males,Incident,342,779355,South Australia
2007,Males,Incident,127,245319,Tasmania
2007,Males,Incident,72,170383,Australian Capital Territory
2007,Males,Incident,30,112777,Northern Territory
2007,Males,Incident,6034,10449776,
2007,Females,Incident,1420,3470199,New South Wales
2007,Females,Incident,986,2624884,Victoria
2007,Females,Incident,1125,2083862,Queensland
2007,Females,Incident,412,1059019,Western Australia
2007,Females,Incident,279,799134,South Australia
2007,Females,Incident,109,250539,Tasmania
2007,Females,Incident,59,173793,Australian Capital Territory
2007,Females,Incident,20,103841,Northern Territory
2007,Females,Incident,4400,10566345,
2007,Persons,Incident,3546,6883852,New South Wales
2007,Persons,Incident,2174,5199503,Victoria
2007,Persons,Incident,2716,4159990,Queensland
2007,Persons,Incident,987,2135006,Western Australia
2007,Persons,Incident,621,1578489,South Australia
2007,Persons,Incident,236,495858,Tasmania
2007,Persons,Incident,131,344176,Australian Capital Territory
2007,Persons,Incident,50,216618,Northern Territory
2007,Persons,Incident,10434,21016121,
2008,Males,Incident,2155,3476199,New South Wales
2008,Males,Incident,1247,2633317,Victoria
2008,Males,Incident,1776,2135996,Queensland
2008,Males,Incident,658,1113633,Western Australia
2008,Males,Incident,413,789696,South Australia
2008,Males,Incident,163,248714,Tasmania
2008,Males,Incident,76,174242,Australian Capital Territory
2008,Males,Incident,29,116223,Northern Territory
2008,Males,Incident,6529,10689738,
2008,Females,Incident,1489,3525583,New South Wales
2008,Females,Incident,982,2679968,Victoria
2008,Females,Incident,1193,2139555,Queensland
2008,Females,Incident,425,1095295,Western Australia
2008,Females,Incident,325,808184,South Australia
2008,Females,Incident,114,253060,Tasmania
2008,Females,Incident,62,176859,Australian Capital Territory
2008,Females,Incident,20,106303,Northern Territory
2008,Females,Incident,4606,10785887,
2008,Persons,Incident,3644,7001782,New South Wales
2008,Persons,Incident,2229,5313285,Victoria
2008,Persons,Incident,2969,4275551,Queensland
2008,Persons,Incident,1083,2208928,Western Australia
2008,Persons,Incident,738,1597880,South Australia
2008,Persons,Incident,277,501774,Tasmania
2008,Persons,Incident,139,351101,Australian Capital Territory
2008,Persons,Incident,49,222526,Northern Territory
2008,Persons,Incident,11135,21475625,
2009,Males,Incident,2190,3526643,New South Wales
2009,Males,Incident,1332,2686022,Victoria
2009,Males,Incident,1787,2181500,Queensland
2009,Males,Incident,637,1140480,Western Australia
2009,Males,Incident,381,800926,South Australia
2009,Males,Incident,159,251434,Tasmania
2009,Males,Incident,77,177822,Australian Capital Territory
2009,Males,Incident,30,119297,Northern Territory
2009,Males,Incident,6598,10886022,
2009,Females,Incident,1534,3574861,New South Wales
2009,Females,Incident,1048,2733227,Victoria
2009,Females,Incident,1264,2185954,Queensland
2009,Females,Incident,399,1123267,Western Australia
2009,Females,Incident,289,817652,South Australia
2009,Females,Incident,115,255027,Tasmania
2009,Females,Incident,57,180037,Australian Capital Territory
2009,Females,Incident,20,108486,Northern Territory
2009,Females,Incident,4708,10979601,
2009,Persons,Incident,3724,7101504,New South Wales
2009,Persons,Incident,2380,5419249,Victoria
2009,Persons,Incident,3051,4367454,Queensland
2009,Persons,Incident,1036,2263747,Western Australia
2009,Persons,Incident,670,1618578,South Australia
2009,Persons,Incident,274,506461,Tasmania
2009,Persons,Incident,135,357859,Australian Capital Territory
2009,Persons,Incident,50,227783,Northern Territory
2009,Persons,Incident,11306,21865623,
2010,Males,Incident,2336,3565558,New South Wales
2010,Males,Incident,1304,2720959,Victoria
2010,Males,Incident,1842,2214429,Queensland
2010,Males,Incident,646,1167862,Western Australia
2010,Males,Incident,386,808037,South Australia
2010,Males,Incident,158,253833,Tasmania
2010,Males,Incident,74,181314,Australian Capital Territory
2010,Males,Incident,32,120979,Northern Territory
2010,Males,Incident,6796,11034979,
2010,Females,Incident,1563,3614333,New South Wales
2010,Females,Incident,971,2774752,Victoria
2010,Females,Incident,1268,2222453,Queensland
2010,Females,Incident,388,1151201,Western Australia
2010,Females,Incident,311,824445,South Australia
2010,Females,Incident,134,256386,Tasmania
2010,Females,Incident,50,183519,Australian Capital Territory
2010,Females,Incident,21,109534,Northern Territory
2010,Females,Incident,4703,11137490,
2010,Persons,Incident,3899,7179891,New South Wales
2010,Persons,Incident,2275,5495711,Victoria
2010,Persons,Incident,3110,4436882,Queensland
2010,Persons,Incident,1034,2319063,Western Australia
2010,Persons,Incident,697,1632482,South Australia
2010,Persons,Incident,292,510219,Tasmania
2010,Persons,Incident,124,364833,Australian Capital Territory
2010,Persons,Incident,53,230460,Northern Territory
2010,Persons,Incident,11499,22172469,
2011,Males,Incident,2399,3604198,New South Wales
2011,Males,Incident,1172,2766513,Victoria
2011,Males,Incident,1924,2253923,Queensland
2011,Males,Incident,665,1202068,Western Australia
2011,Males,Incident,404,815608,South Australia
2011,Males,Incident,131,254896,Tasmania
2011,Males,Incident,76,184982,Australian Capital Territory
2011,Males,Incident,33,122136,Northern Territory
2011,Males,Incident,6800,11206252,
2011,Females,Incident,1616,3654524,New South Wales
2011,Females,Incident,900,2825305,Victoria
2011,Females,Incident,1379,2264726,Queensland
2011,Females,Incident,449,1183879,Western Australia
2011,Females,Incident,287,831575,South Australia
2011,Females,Incident,129,256984,Tasmania
2011,Females,Incident,48,187088,Australian Capital Territory
2011,Females,Incident,22,110816,Northern Territory
2011,Females,Incident,4837,11315945,
2011,Persons,Incident,4015,7258722,New South Wales
2011,Persons,Incident,2072,5591818,Victoria
2011,Persons,Incident,3303,4518649,Queensland
2011,Persons,Incident,1114,2385947,Western Australia
2011,Persons,Incident,691,1647183,South Australia
2011,Persons,Incident,260,511880,Tasmania
2011,Persons,Incident,124,372070,Australian Capital Territory
2011,Persons,Incident,55,232952,Northern Territory
2011,Persons,Incident,11637,22522197,
2012,Males,Incident,2490,3650035,New South Wales
2012,Males,Incident,1292,2825349,Victoria
2012,Males,Incident,2014,2299776,Queensland
2012,Males,Incident,694,1239615,Western Australia
2012,Males,Incident,393,823688,South Australia
2012,Males,Incident,146,254866,Tasmania
2012,Males,Incident,79,188673,Australian Capital Territory
2012,Males,Incident,37,125043,Northern Territory
2012,Males,Incident,7152,11408788,
2012,Females,Incident,1699,3703154,New South Wales
2012,Females,Incident,988,2884237,Victoria
2012,Females,Incident,1430,2311528,Queensland
2012,Females,Incident,451,1217874,Western Australia
2012,Females,Incident,302,839394,South Australia
2012,Females,Incident,109,257127,Tasmania
2012,Females,Incident,54,191139,Australian Capital Territory
2012,Females,Incident,23,113685,Northern Territory
2012,Females,Incident,5081,11519235,
2012,Persons,Incident,4189,7353189,New South Wales
2012,Persons,Incident,2280,5709586,Victoria
2012,Persons,Incident,3444,4611304,Queensland
2012,Persons,Incident,1145,2457489,Western Australia
2012,Persons,Incident,695,1663082,South Australia
2012,Persons,Incident,255,511993,Tasmania
2012,Persons,Incident,132,379812,Australian Capital Territory
2012,Persons,Incident,60,238728,Northern Territory
2012,Persons,Incident,12233,22928023,
2013,Males,Incident,2540,3698220,New South Wales
2013,Males,Incident,1330,2884387,Victoria
2013,Males,Incident,2163,2333762,Queensland
2013,Males,Incident,780,1259941,Western Australia
2013,Males,Incident,437,830900,South Australia
2013,Males,Incident,139,254878,Tasmania
2013,Males,Incident,81,191691,Australian Capital Territory
2013,Males,Incident,39,126921,Northern Territory
2013,Males,Incident,7523,11582448,
2013,Females,Incident,1767,3756718,New South Wales
2013,Females,Incident,1002,2948198,Victoria
2013,Females,Incident,1530,2351677,Queensland
2013,Females,Incident,532,1242247,Western Australia
2013,Females,Incident,284,847152,South Australia
2013,Females,Incident,136,258137,Tasmania
2013,Females,Incident,54,194627,Australian Capital Territory
2013,Females,Incident,24,115450,Northern Territory
2013,Females,Incident,5339,11715329,
2013,Persons,Incident,4307,7454938,New South Wales
2013,Persons,Incident,2332,5832585,Victoria
2013,Persons,Incident,3693,4685439,Queensland
2013,Persons,Incident,1312,2502188,Western Australia
2013,Persons,Incident,721,1678052,South Australia
2013,Persons,Incident,275,513015,Tasmania
2013,Persons,Incident,135,386318,Australian Capital Territory
2013,Persons,Incident,63,242304,Northern Territory
2013,Persons,Incident,12862,23297777,
2014,Males,Incident,2558,3750061,New South Wales
2014,Males,Incident,1402,2945763,Victoria
2014,Males,Incident,2199,2361282,Queensland
2014,Males,Incident,770,1271552,Western Australia
2014,Males,Incident,478,838094,South Australia
2014,Males,Incident,163,255134,Tasmania
2014,Males,Incident,81,194291,Australian Capital Territory
2014,Males,Incident,43,127079,Northern Territory
2014,Males,Incident,7705,11744498,
2014,Females,Incident,1797,3812110,New South Wales
2014,Females,Incident,1064,3011749,Victoria
2014,Females,Incident,1507,2385981,Queensland
2014,Females,Incident,530,1257067,Western Australia
2014,Females,Incident,310,855013,South Australia
2014,Females,Incident,169,259067,Tasmania
2014,Females,Incident,63,197690,Australian Capital Territory
2014,Females,Incident,25,116165,Northern Territory
2014,Females,Incident,5483,11895833,
2014,Persons,Incident,4355,7562171,New South Wales
2014,Persons,Incident,2466,5957512,Victoria
2014,Persons,Incident,3706,4747263,Queensland
2014,Persons,Incident,1300,2528619,Western Australia
2014,Persons,Incident,788,1693107,South Australia
2014,Persons,Incident,332,514040,Tasmania
2014,Persons,Incident,144,391981,Australian Capital Territory
2014,Persons,Incident,68,243201,Northern Territory
2014,Persons,Incident,13188,23640331,
2015,Males,Incident,2581,3803289,New South Wales
2015,Males,Incident,1533,3011376,Victoria
2015,Males,Incident,2192,2385347,Queensland
2015,Males,Incident,895,1278792,Western Australia
2015,Males,Incident,471,843702,South Australia
2015,Males,Incident,166,255551,Tasmania
2015,Males,Incident,84,197696,Australian Capital Territory
2015,Males,Incident,48,127914,Northern Territory
2015,Males,Incident,8004,11904308,
2015,Females,Incident,1780,3868112,New South Wales
2015,Females,Incident,1162,3081673,Victoria
2015,Females,Incident,1561,2419586,Queensland
2015,Females,Incident,669,1268953,Western Australia
2015,Females,Incident,295,862235,South Australia
2015,Females,Incident,136,260242,Tasmania
2015,Females,Incident,70,201178,Australian Capital Territory
2015,Females,Incident,27,117123,Northern Territory
2015,Females,Incident,5714,12080273,
2015,Persons,Incident,4361,7671401,New South Wales
2015,Persons,Incident,2695,6093049,Victoria
2015,Persons,Incident,3753,4804933,Queensland
2015,Persons,Incident,1564,2547745,Western Australia
2015,Persons,Incident,766,1705937,South Australia
2015,Persons,Incident,302,515697,Tasmania
2015,Persons,Incident,153,398874,Australian Capital Territory
2015,Persons,Incident,75,244692,Northern Territory
2015,Persons,Incident,13718,23984581,
2016,Males,Incident,2858,3865361,New South Wales
2016,Males,Incident,1569,3082379,Victoria
2016,Males,Incident,2331,2421215,Queensland
2016,Males,Incident,912,1288303,Western Australia
2016,Males,Incident,463,849914,South Australia
2016,Males,Incident,185,258456,Tasmania
2016,Males,Incident,92,202502,Australian Capital Territory
2016,Males,Incident,54,128021,Northern Territory
2016,Males,Incident,8491,12098143,
2016,Females,Incident,1927,3930264,New South Wales
2016,Females,Incident,1251,3153402,Victoria
2016,Females,Incident,1633,2461724,Queensland
2016,Females,Incident,624,1281303,Western Australia
2016,Females,Incident,341,869666,South Australia
2016,Females,Incident,148,263525,Tasmania
2016,Females,Incident,75,206376,Australian Capital Territory
2016,Females,Incident,28,118539,Northern Territory
2016,Females,Incident,6034,12286921,
2016,Persons,Incident,4785,7795625,New South Wales
2016,Persons,Incident,2820,6235781,Victoria
2016,Persons,Incident,3964,4882939,Queensland
2016,Persons,Incident,1536,2569606,Western Australia
2016,Persons,Incident,804,1719580,South Australia
2016,Persons,Incident,333,521981,Tasmania
2016,Persons,Incident,167,408878,Australian Capital Territory
2016,Persons,Incident,82,246443,Northern Territory
2016,Persons,Incident,14525,24385064,
2017,Males,Incident,2975,3921301,New South Wales
2017,Males,Incident,1673,3144429,Victoria
2017,Males,Incident,2477,2458389,Queensland
2017,Males,Incident,867,1302076,Western Australia
2017,Males,Incident,467,857807,South Australia
2017,Males,Incident,181,263305,Tasmania
2017,Males,Incident,107,207866,Australian Capital Territory
2017,Males,Incident,52,128104,Northern Territory
2017,Males,Incident,8833,12284961,
2017,Females,Incident,1957,3979645,New South Wales
2017,Females,Incident,1310,3213781,Victoria
2017,Females,Incident,1671,2502576,Queensland
2017,Females,Incident,586,1297852,Western Australia
2017,Females,Incident,332,877847,South Australia
2017,Females,Incident,158,268256,Tasmania
2017,Females,Incident,77,212360,Australian Capital Territory
2017,Females,Incident,29,119647,Northern Territory
2017,Females,Incident,6129,12474057,
2017,Persons,Incident,4932,7900946,New South Wales
2017,Persons,Incident,2983,6358210,Victoria
2017,Persons,Incident,4148,4960965,Queensland
2017,Persons,Incident,1453,2599928,Western Australia
2017,Persons,Incident,799,1735654,South Australia
2017,Persons,Incident,339,531561,Tasmania
2017,Persons,Incident,184,420226,Australian Capital Territory
2017,Persons,Incident,81,247514,Northern Territory
2017,Persons,Incident,14962,24759018,
2018,Males,Incident,2984,3976266,New South Wales
2018,Males,Incident,1766,3207192,Victoria
2018,Males,Incident,2341,2499842,Queensland
2018,Males,Incident,857,1319834,Western Australia
2018,Males,Incident,476,867603,South Australia
2018,Males,Incident,205,268840,Tasmania
2018,Males,Incident,114,212822,Australian Capital Territory
2018,Males,Incident,53,127221,Northern Territory
2018,Males,Incident,8807,12481024,
2018,Females,Incident,2021,4027298,New South Wales
2018,Females,Incident,1311,3272503,Victoria
2018,Females,Incident,1731,2546592,Queensland
2018,Females,Incident,627,1316570,Western Australia
2018,Females,Incident,309,888112,South Australia
2018,Females,Incident,196,274087,Tasmania
2018,Females,Incident,81,217936,Australian Capital Territory
2018,Females,Incident,30,119997,Northern Territory
