row,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
0.0,Melanoma of the skin,2007,Males,New South Wales,2126,62.8,339,10.0,Male,3413653
1.0,Melanoma of the skin,2007,Males,Victoria,1188,46.6,182,7.1,Male,2574619
2.0,Melanoma of the skin,2007,Males,Queensland,1591,77.5,211,10.3,Male,2076128
3.0,Melanoma of the skin,2007,Males,Western Australia,575,54.2,88,8.3,Male,1075987
4.0,Melanoma of the skin,2007,Males,South Australia,342,44.1,55,7.1,Male,779355
5.0,Melanoma of the skin,2007,Males,Tasmania,127,52.1,12,4.9,Male,245319
6.0,Melanoma of the skin,2007,Males,Australian Capital Territory,72,44.0,14,8.3,Male,170383
7.0,Melanoma of the skin,2007,Males,Northern Territory,30,27.7,3,n.p.,Male,112777
8.0,Melanoma of the skin,2007,Males,,6034,58.3,909,8.8,Male,10449776
9.0,Melanoma of the skin,2007,Females,New South Wales,1420,41.2,138,4.0,Female,3470199
10.0,Melanoma of the skin,2007,Females,Victoria,986,37.9,95,3.7,Female,2624884
11.0,Melanoma of the skin,2007,Females,Queensland,1125,54.6,90,4.4,Female,2083862
12.0,Melanoma of the skin,2007,Females,Western Australia,412,39.4,36,3.4,Female,1059019
13.0,Melanoma of the skin,2007,Females,South Australia,279,35.1,34,4.3,Female,799134
14.0,Melanoma of the skin,2007,Females,Tasmania,109,43.7,4,n.p.,Female,250539
15.0,Melanoma of the skin,2007,Females,Australian Capital Territory,59,35.0,4,n.p.,Female,173793
16.0,Melanoma of the skin,2007,Females,Northern Territory,20,20.6,1,n.p.,Female,103841
17.0,Melanoma of the skin,2007,Females,,4400,42.0,400,3.8,Female,10566345
18.0,Melanoma of the skin,2007,Persons,New South Wales,3546,51.9,477,7.0,Person,6883852
19.0,Melanoma of the skin,2007,Persons,Victoria,2174,42.2,277,5.4,Person,5199503
20.0,Melanoma of the skin,2007,Persons,Queensland,2716,66.1,301,7.3,Person,4159990
21.0,Melanoma of the skin,2007,Persons,Western Australia,987,46.9,124,5.9,Person,2135006
22.0,Melanoma of the skin,2007,Persons,South Australia,621,39.5,89,5.7,Person,1578489
23.0,Melanoma of the skin,2007,Persons,Tasmania,236,47.8,16,3.2,Person,495858
24.0,Melanoma of the skin,2007,Persons,Australian Capital Territory,131,39.4,18,5.3,Person,344176
25.0,Melanoma of the skin,2007,Persons,Northern Territory,50,24.3,4,n.p.,Person,216618
26.0,Melanoma of the skin,2007,Persons,,10434,50.1,1309,6.3,Person,21016121
27.0,Melanoma of the skin,2008,Males,New South Wales,2155,62.6,347,10.1,Male,3476199
28.0,Melanoma of the skin,2008,Males,Victoria,1247,47.9,187,7.2,Male,2633317
29.0,Melanoma of the skin,2008,Males,Queensland,1776,84.3,213,10.1,Male,2135996
30.0,Melanoma of the skin,2008,Males,Western Australia,658,60.1,93,8.5,Male,1113633
31.0,Melanoma of the skin,2008,Males,South Australia,413,52.6,78,9.9,Male,789696
32.0,Melanoma of the skin,2008,Males,Tasmania,163,66.0,27,10.9,Male,248714
33.0,Melanoma of the skin,2008,Males,Australian Capital Territory,76,45.7,14,8.1,Male,174242
34.0,Melanoma of the skin,2008,Males,Northern Territory,29,26.5,3,n.p.,Male,116223
35.0,Melanoma of the skin,2008,Males,,6529,61.8,959,9.1,Male,10689738
36.0,Melanoma of the skin,2008,Females,New South Wales,1489,42.6,150,4.3,Female,3525583
37.0,Melanoma of the skin,2008,Females,Victoria,982,37.0,89,3.4,Female,2679968
38.0,Melanoma of the skin,2008,Females,Queensland,1193,56.5,95,4.5,Female,2139555
39.0,Melanoma of the skin,2008,Females,Western Australia,425,39.5,30,2.8,Female,1095295
40.0,Melanoma of the skin,2008,Females,South Australia,325,40.4,38,4.7,Female,808184
41.0,Melanoma of the skin,2008,Females,Tasmania,114,45.3,13,5.2,Female,253060
42.0,Melanoma of the skin,2008,Females,Australian Capital Territory,62,36.6,5,2.7,Female,176859
43.0,Melanoma of the skin,2008,Females,Northern Territory,20,19.6,1,n.p.,Female,106303
44.0,Melanoma of the skin,2008,Females,,4606,43.1,424,4.0,Female,10785887
45.0,Melanoma of the skin,2008,Persons,New South Wales,3644,52.5,497,7.2,Person,7001782
46.0,Melanoma of the skin,2008,Persons,Victoria,2229,42.4,276,5.3,Person,5313285
47.0,Melanoma of the skin,2008,Persons,Queensland,2969,70.4,308,7.3,Person,4275551
48.0,Melanoma of the skin,2008,Persons,Western Australia,1083,49.9,123,5.7,Person,2208928
49.0,Melanoma of the skin,2008,Persons,South Australia,738,46.5,116,7.3,Person,1597880
50.0,Melanoma of the skin,2008,Persons,Tasmania,277,55.6,40,8.0,Person,501774
51.0,Melanoma of the skin,2008,Persons,Australian Capital Territory,139,41.1,18,5.4,Person,351101
52.0,Melanoma of the skin,2008,Persons,Northern Territory,49,23.2,4,n.p.,Person,222526
53.0,Melanoma of the skin,2008,Persons,,11135,52.4,1383,6.5,Person,21475625
54.0,Melanoma of the skin,2009,Males,New South Wales,2190,62.5,353,10.1,Male,3526643
55.0,Melanoma of the skin,2009,Males,Victoria,1332,50.0,218,8.2,Male,2686022
56.0,Melanoma of the skin,2009,Males,Queensland,1787,82.6,198,9.2,Male,2181500
57.0,Melanoma of the skin,2009,Males,Western Australia,637,56.4,90,8.0,Male,1140480
58.0,Melanoma of the skin,2009,Males,South Australia,381,47.9,64,8.0,Male,800926
59.0,Melanoma of the skin,2009,Males,Tasmania,159,63.5,18,7.2,Male,251434
60.0,Melanoma of the skin,2009,Males,Australian Capital Territory,77,45.5,14,8.0,Male,177822
61.0,Melanoma of the skin,2009,Males,Northern Territory,30,26.6,3,n.p.,Male,119297
62.0,Melanoma of the skin,2009,Males,,6598,61.1,956,8.9,Male,10886022
63.0,Melanoma of the skin,2009,Females,New South Wales,1534,43.2,170,4.8,Female,3574861
64.0,Melanoma of the skin,2009,Females,Victoria,1048,38.7,95,3.5,Female,2733227
65.0,Melanoma of the skin,2009,Females,Queensland,1264,58.4,92,4.2,Female,2185954
66.0,Melanoma of the skin,2009,Females,Western Australia,399,35.9,47,4.2,Female,1123267
67.0,Melanoma of the skin,2009,Females,South Australia,289,35.5,26,3.2,Female,817652
68.0,Melanoma of the skin,2009,Females,Tasmania,115,45.3,16,6.3,Female,255027
69.0,Melanoma of the skin,2009,Females,Australian Capital Territory,57,33.2,6,3.2,Female,180037
70.0,Melanoma of the skin,2009,Females,Northern Territory,20,19.6,1,n.p.,Female,108486
71.0,Melanoma of the skin,2009,Females,,4708,43.2,454,4.2,Female,10979601
72.0,Melanoma of the skin,2009,Persons,New South Wales,3724,52.8,523,7.4,Person,7101504
73.0,Melanoma of the skin,2009,Persons,Victoria,2380,44.3,313,5.8,Person,5419249
74.0,Melanoma of the skin,2009,Persons,Queensland,3051,70.5,290,6.7,Person,4367454
75.0,Melanoma of the skin,2009,Persons,Western Australia,1036,46.2,137,6.1,Person,2263747
76.0,Melanoma of the skin,2009,Persons,South Australia,670,41.6,90,5.6,Person,1618578
