Country,Life Expectancy
Afghanistan,60.49
Albania,76.53
Algeria,74.02
Angola,62.65
Antigua and Barbuda,77.61
Argentina,76.23
Armenia,69.33
Australia,83.37
Austria,81.09
Azerbaijan,71.43
Bahamas,72.62
Bahrain,74.85
Bangladesh,73.3
Barbados,76.95
Belarus,73.01
Belgium,80.78
Belize,74.69
Benin,64.4
Bhutan,74.45
Bolivia (Plurinational State of),67.12
Bosnia and Herzegovina,75.71
Botswana,65.17
Brazil,74.11
Brunei Darussalam,76.76
Bulgaria,73.49
Burkina Faso,62.93
Burundi,64.59
Cabo Verde,73.67
Cambodia,69.84
Cameroon,62.18
Canada,81.3
Central African Republic,53.08
Chad,59.21
Chile,79.9
China,77.48
Colombia,76.17
Comoros,68.31
Congo,63.36
Costa Rica,79.99
Cote d'Ivoire,63.31
Croatia,77.86
Cuba,77.64
Cyprus,82.06
Czechia,78.13
Democratic People's Republic of Korea,72.38
Democratic Republic of the Congo,62.04
Denmark,81.37
Djibouti,65.27
Dominican Republic,73.57
Ecuador,72.71
Egypt,70.12
El Salvador,72.06
Equatorial Guinea,61.16
Eritrea,63.82
Estonia,78.62
Eswatini,55.97
Ethiopia,68.8
Fiji,67.71
Finland,81.54
France,81.87
Gabon,65.13
Gambia,64.79
Georgia,73.11
Germany,80.8
Ghana,66.18
Greece,80.63
Grenada,75.35
Guatemala,70.96
Guinea,61.16
Guinea-Bissau,58.38
Guyana,66.94
Haiti,63.41
Honduras,70.33
Hungary,75.76
Iceland,82.56
India,70.19
Indonesia,69.7
Iran (Islamic Republic of),75.19
Iraq,70.41
Ireland,81.7
Israel,82.37
Italy,81.94
Jamaica,72.64
Japan,84.66
Jordan,77.56
Kazakhstan,71.32
Kenya,66.79
Kiribati,61.88
Kuwait,78.77
Kyrgyzstan,71.47
Lao People's Democratic Republic,68.74
Latvia,75.5
Lebanon,77.7
Lesotho,51.85
Liberia,63.46
Libya,72.65
Lithuania,74.9
Luxembourg,82.83
Madagascar,63.08
Malawi,63.46
Malaysia,76.79
Maldives,76.19
Mali,61.47
Malta,82.01
Mauritania,68.93
Mauritius,73.57
Mexico,70.95
Micronesia (Federated States of),65.67
Mongolia,72.71
Montenegro,75.48
Morocco,72.51
Mozambique,58.63
Myanmar,68.87
Namibia,63.75
Nepal,70.99
Netherlands (Kingdom of the),81.4
New Zealand,82.5
Nicaragua,75.04
Niger,60.39
Nigeria,62.84
North Macedonia,74.37
Norway,82.84
"occupied Palestinian territory, including east Jerusalem",75.13
Oman,73.89
Pakistan,65.85
Panama,77.35
Papua New Guinea,66.27
Paraguay,75.25
Peru,72.78
Philippines,69.64
Poland,76.39
Portugal,80.82
Puerto Rico,79.93
Qatar,77.28
Republic of Korea,83.8
Republic of Moldova,72.15
Romania,74.1
Russian Federation,71.38
Rwanda,68.26
Saint Lucia,75.63
Saint Vincent and the Grenadines,72.75
Samoa,70.19
Sao Tome and Principe,71.25
Saudi Arabia,76.06
Senegal,68.56
Serbia,74.43
Seychelles,77.26
Sierra Leone,60.52
Singapore,84
Slovakia,76.87
Slovenia,80.34
Solomon Islands,65.39
Somalia,55.13
South Africa,64.3
South Sudan,58.95
Spain,81.92
Sri Lanka,80.66
Sudan,68.44
Suriname,72.8
Sweden,82.08
Switzerland,82.74
Syrian Arab Republic,72
Tajikistan,70.56
Thailand,76.51
Timor-Leste,68.92
Togo,63.85
Tonga,73.19
Trinidad and Tobago,73.64
Tunisia,77.12
Türkiye,76.18
Turkmenistan,68.47
Uganda,66.3
Ukraine,72.5
United Arab Emirates,80.13
United Kingdom of Great Britain and Northern Ireland,80.14
United Republic of Tanzania,67.4
United States of America,76.89
Uruguay,77.79
Uzbekistan,71.36
Vanuatu,67.1
Venezuela (Bolivarian Republic of),72.4
Viet Nam,74.78
Yemen,66.51
Zambia,61.83
Zimbabwe,59.4
